
 
*********************************** 
*********************************** 
       Corte Phi =  0.000000 
*********************************** 
*********************************** 
			CP				XP
		---------------------------	---------------------------
THETA      	MODULO     	FASE       	MODULO     	FASE       
-----------	-----------	-----------	-----------	-----------
55.000000	-19.225824	-171.083116	-9.260829	21.152554
56.000000	-18.214333	-162.709270	-9.003345	25.697130
57.000000	-16.984921	-159.288468	-9.128433	28.931718
58.000000	-15.656524	-157.705015	-9.570719	32.598642
59.000000	-14.609651	-155.568399	-9.954147	36.245108
60.000000	-13.846956	-151.402314	-10.157398	38.881449
61.000000	-13.505010	-144.297682	-10.357744	41.526680
62.000000	-13.601699	-136.775044	-10.487000	44.570229
63.000000	-13.863779	-128.939301	-10.315645	51.205114
64.000000	-13.916082	-126.476499	-9.808064	57.417042
65.000000	-13.557847	-130.498969	-9.425706	61.779221
66.000000	-12.783709	-135.471635	-9.540383	63.511715
67.000000	-11.923522	-137.218151	-10.217215	63.584390
68.000000	-11.254804	-134.593953	-11.231814	64.907044
69.000000	-10.759759	-127.325447	-11.919841	71.262784
70.000000	-10.356292	-118.574617	-11.510444	79.175423
71.000000	-10.198608	-113.122496	-10.502065	82.492838
72.000000	-10.469807	-110.906502	-9.889801	82.704934
73.000000	-11.102328	-112.386699	-10.001922	83.833640
74.000000	-11.715613	-116.859357	-10.565814	87.316671
75.000000	-11.935655	-119.370920	-11.223692	92.480996
76.000000	-11.671156	-117.560268	-11.703333	95.904312
77.000000	-11.166449	-111.914980	-12.051319	96.276514
78.000000	-10.546789	-103.598270	-12.251727	95.552065
79.000000	-10.070616	-97.289888	-12.222781	95.756053
80.000000	-9.957610	-94.273985	-11.985643	99.705194
81.000000	-10.477479	-95.880948	-11.419111	106.107278
82.000000	-11.460173	-100.386837	-10.956426	109.633829
83.000000	-12.420897	-103.528331	-11.215820	110.384357
84.000000	-12.687514	-102.121405	-12.506341	110.669408
85.000000	-12.037423	-95.665442	-14.220466	115.418502
86.000000	-10.921601	-90.554553	-14.969145	118.594830
87.000000	-9.994826	-85.540665	-14.583009	116.020928
88.000000	-9.686579	-83.254195	-13.961526	109.531180
89.000000	-10.075833	-80.979993	-13.614694	108.011728
90.000000	-11.145318	-78.505943	-13.603991	112.692899
91.000000	-12.433022	-76.869779	-13.750994	120.015220
92.000000	-13.510100	-75.219746	-14.148238	125.546526
93.000000	-14.128737	-73.571356	-14.953854	128.310686
94.000000	-13.979105	-71.707475	-16.364752	127.713232
95.000000	-13.085265	-70.084353	-17.921180	120.432595
96.000000	-12.161312	-70.606501	-18.442800	109.248422
97.000000	-11.804772	-72.438306	-17.498907	103.367461
98.000000	-12.328985	-73.203971	-15.922036	103.595284
99.000000	-13.590637	-70.090365	-14.681691	106.334609
100.000000	-14.714812	-63.882730	-14.618936	109.439971
101.000000	-15.238523	-57.440875	-15.748006	113.531535
102.000000	-15.634034	-57.282265	-17.506191	116.849644
103.000000	-16.018307	-62.053968	-19.251730	117.871160
104.000000	-16.078697	-67.816351	-20.512660	112.814913
105.000000	-15.828643	-71.962947	-20.858668	98.041471
106.000000	-15.212383	-74.487085	-19.878926	82.335231
107.000000	-14.509261	-75.611038	-19.150471	75.284927
108.000000	-14.053787	-75.606255	-19.033041	76.650834
109.000000	-14.140513	-72.705033	-18.872107	85.608221
110.000000	-14.645957	-67.067069	-18.332002	93.845811
111.000000	-15.070546	-60.425363	-18.069905	94.668972
112.000000	-15.100504	-55.347959	-18.561320	88.312252
113.000000	-14.854232	-55.415806	-19.337410	77.811169
114.000000	-14.768955	-59.564498	-20.132854	69.142363
115.000000	-15.256026	-64.773829	-20.574344	64.488153
116.000000	-16.236891	-67.161932	-19.847417	63.371461
117.000000	-17.072161	-62.811417	-18.417210	62.417622
118.000000	-16.846543	-55.730629	-17.453248	59.454569
119.000000	-15.914202	-54.736692	-17.394673	54.081935
120.000000	-15.172847	-60.114399	-17.719589	48.544881
121.000000	-15.011472	-65.805910	-17.947304	48.246234
122.000000	-15.567008	-68.613760	-18.055301	52.513685
123.000000	-16.495855	-66.280172	-18.127919	56.865209
124.000000	-17.287352	-61.168060	-18.175102	56.699392
125.000000	-17.471831	-57.595597	-18.073114	54.309222
126.000000	-17.600700	-57.451924	-17.893144	52.959265
127.000000	-18.098068	-58.784046	-17.900124	51.801893
128.000000	-19.045410	-59.849663	-18.075211	47.657634
129.000000	-20.023818	-60.659233	-18.318235	40.945619
130.000000	-20.436244	-62.140112	-18.664060	34.833368
131.000000	-20.053691	-66.819254	-19.280965	29.705516
132.000000	-19.200756	-75.257244	-20.203033	23.283574
133.000000	-18.395472	-85.521128	-21.307759	13.868434
134.000000	-18.115798	-96.325803	-22.183506	 2.744268
135.000000	-18.476084	-106.490270	-22.790326	-5.747494
136.000000	-19.426083	-113.036981	-23.268604	-9.818338
137.000000	-20.575155	-113.754064	-23.834314	-12.441949
138.000000	-21.291733	-108.080607	-24.292794	-15.722736
139.000000	-21.275689	-104.191008	-24.321322	-18.755743
140.000000	-21.015277	-106.753421	-24.116112	-20.445046
141.000000	-20.780440	-115.833178	-24.034487	-21.692078
142.000000	-20.566224	-128.060606	-24.290994	-24.604098
143.000000	-20.650357	-140.171630	-24.712611	-30.071604
144.000000	-21.160745	-150.321973	-24.889587	-36.252222
145.000000	-22.028988	-158.165494	-25.370837	-41.699823
146.000000	-22.814540	-164.770140	-26.630434	-48.622437
147.000000	-22.987823	-171.310628	-28.416588	-59.049108
148.000000	-22.432848	-178.285105	-29.958113	-73.663493
149.000000	-21.478001	174.257230	-30.763383	-90.130602
150.000000	-20.642544	166.463273	-31.766064	-105.074351
151.000000	-20.117289	157.385049	-33.920180	-129.949818
152.000000	-19.803996	146.582358	-34.102546	-174.681478
153.000000	-19.697287	135.913760	-31.293450	156.997170
154.000000	-19.864942	125.790709	-29.807359	143.678312
155.000000	-20.304598	115.657802	-29.540834	129.546894
156.000000	-20.993278	105.793691	-28.945963	109.317685
157.000000	-21.837128	95.508304	-27.154959	90.657698
158.000000	-22.678024	82.357403	-25.357544	78.712960
159.000000	-23.329670	67.086643	-24.494460	71.016560
160.000000	-23.773749	50.963890	-24.569248	63.586444
161.000000	-24.127583	34.318706	-25.176482	52.710358
162.000000	-24.424954	18.599550	-25.595127	38.302866
163.000000	-24.613020	 2.702043	-25.633247	22.279985
164.000000	-24.590692	-12.611677	-25.582010	 6.376865
165.000000	-24.547697	-26.514820	-25.687240	-10.737399
166.000000	-24.772759	-41.103278	-25.721054	-30.676312
167.000000	-25.359801	-57.433046	-25.342885	-50.747846
168.000000	-26.045436	-77.096055	-24.631961	-68.096063
169.000000	-26.195527	-101.149495	-23.995325	-81.117416
170.000000	-25.453770	-122.222467	-24.040230	-89.611234
171.000000	-24.641237	-135.225940	-25.138027	-97.174142
172.000000	-24.436648	-142.578827	-27.495398	-109.481740
173.000000	-25.104969	-146.653613	-30.777561	-136.143128
174.000000	-26.829564	-147.596097	-31.903166	178.171677
175.000000	-30.052518	-145.910846	-29.560348	144.643452
176.000000	-35.604829	-137.165263	-27.943070	129.217533
177.000000	-44.670850	-80.606024	-28.110939	120.770109
178.000000	-38.830205	-9.729895	-30.480729	111.839587
179.000000	-35.686292	-1.458638	-36.326315	91.352845
