#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.6178002357483	-13.706259165648
4.6187000274658	-13.767960756871
4.6195998191833	-13.829715647970
4.6205000877380	-13.891513267309
4.6213998794556	-13.953341203939
4.6223001480103	-14.015191193915
4.6231999397278	-14.077050605216
4.6241002082825	-14.138906948577
4.6250000000000	-14.200749231394
4.6258997917175	-14.262563146402
4.6268000602722	-14.324338073722
4.6276998519897	-14.386058909978
4.6286001205444	-14.447714496932
4.6294999122620	-14.509288277619
4.6304001808167	-14.570766122158
4.6312999725342	-14.632134444531
4.6321997642517	-14.693376367209
4.6331000328064	-14.754477969274
4.6339998245239	-14.815422834905
4.6349000930786	-14.876192642756
4.6357998847961	-14.936773832549
4.6367001533508	-14.997146291022
4.6375999450684	-15.057293630345
4.6385002136230	-15.117198846506
4.6394000053406	-15.176841973213
4.6402997970581	-15.236205779512
4.6412000656128	-15.295268905186
4.6420998573303	-15.354014667662
4.6430001258850	-15.412422847263
4.6438999176025	-15.470470971186
4.6448001861572	-15.528140395200
4.6456999778748	-15.585411584968
4.6465997695923	-15.642260965714
4.6475000381470	-15.698668779410
4.6483998298645	-15.754614260988
4.6493000984192	-15.810074559856
4.6501998901367	-15.865027952383
4.6511001586914	-15.919451682297
4.6519999504089	-15.973325578348
4.6529002189636	-16.026624752418
4.6538000106812	-16.079328260214
4.6546998023987	-16.131413316789
4.6556000709534	-16.182855895230
4.6564998626709	-16.233636592116
4.6574001312256	-16.283729029379
4.6582999229431	-16.333113888528
4.6592001914978	-16.381766767564
4.6600999832153	-16.429666896332
4.6609997749329	-16.476792052588
4.6619000434875	-16.523120463973
4.6627998352051	-16.568630028123
4.6637001037598	-16.613297575230
4.6645998954773	-16.657106377800
4.6655001640320	-16.700033715921
4.6663999557495	-16.742059797758
4.6673002243042	-16.783164935400
4.6682000160217	-16.823331383900
4.6690998077393	-16.862539797211
4.6700000762939	-16.900772661339
4.6708998680115	-16.938012840781
4.6718001365662	-16.974243625059
4.6726999282837	-17.009449216813
4.6736001968384	-17.043618279160
4.6744999885559	-17.076732024732
4.6753997802734	-17.108781527648
4.6763000488281	-17.139750987137
4.6771998405457	-17.169632141769
4.6781001091003	-17.198412784283
4.6789999008179	-17.226086436771
4.6799001693726	-17.252642060897
4.6807999610901	-17.278074204272
4.6817002296448	-17.302377792971
4.6826000213623	-17.325543609234
4.6834998130798	-17.347574203530
4.6844000816345	-17.368462716920
4.6852998733521	-17.388208644961
4.6862001419067	-17.406812157125
4.6870999336243	-17.424274765611
4.6880002021790	-17.440595527793
4.6888999938965	-17.455780758669
4.6897997856140	-17.469832804367
4.6907000541687	-17.482758634921
4.6915998458862	-17.494563129798
4.6925001144409	-17.505255274326
4.6933999061584	-17.514841607320
4.6943001747131	-17.523335043424
4.6951999664307	-17.530744173338
4.6961002349854	-17.537080570103
4.6970000267029	-17.542357211867
4.6978998184204	-17.546587641461
4.6988000869751	-17.549787806664
4.6996998786926	-17.551971742373
4.7006001472473	-17.553154006246
4.7014999389648	-17.553355631067
4.7024002075195	-17.552590924647
4.7032999992371	-17.550878088254
4.7041997909546	-17.548238886854
4.7051000595093	-17.544690546591
4.7059998512268	-17.540252733169
4.7069001197815	-17.534949790365
4.7077999114990	-17.528797858058
4.7087001800537	-17.521824049780
4.7095999717712	-17.514044079912
4.7104997634888	-17.505484100847
4.7114000320435	-17.496165715343
4.7122998237610	-17.486111419186
4.7132000923157	-17.475345171885
4.7140998840332	-17.463888097750
4.7150001525879	-17.451767281267
4.7158999443054	-17.439001736303
4.7168002128601	-17.425616209845
4.7177000045776	-17.411635707776
4.7185997962952	-17.397081240292
4.7195000648499	-17.381977439162
4.7203998565674	-17.366346008753
4.7213001251221	-17.350214593126
4.7221999168396	-17.333600348341
4.7231001853943	-17.316529635057
4.7239999771118	-17.299021436925
4.7248997688293	-17.281103971428
4.7258000373840	-17.262794342755
4.7266998291016	-17.244116522688
4.7276000976562	-17.225092374780
4.7284998893738	-17.205740850921
4.7294001579285	-17.186084662851
4.7302999496460	-17.166145642715
4.7312002182007	-17.145941763140
4.7321000099182	-17.125493827359
4.7329998016357	-17.104821934089
4.7339000701904	-17.083945779299
4.7347998619080	-17.062883330318
4.7357001304626	-17.041651395887
4.7365999221802	-17.020271857278
4.7375001907349	-16.998761246433
4.7383999824524	-16.977135337927
4.7392997741699	-16.955412973353
4.7402000427246	-16.933608575931
4.7410998344421	-16.911740672753
4.7420001029968	-16.889822838165
4.7428998947144	-16.867873131099
4.7438001632690	-16.845904223729
4.7446999549866	-16.823931890907
