#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Theta / deg"	"farfield (f=4.7) [1] [Magnitude / dBi]"
#------------------------------------------------------
-33.000000000000	-0.16571660189316
-32.000000000000	-0.90590356981560
-31.000000000000	-1.8747817333432
-30.000000000000	-3.1127755131355
-29.000000000000	-4.6288979464081
-28.000000000000	-6.2595960555037
-27.000000000000	-7.2982795229310
-26.000000000000	-6.6424038625435
-25.000000000000	-4.5373071230431
-24.000000000000	-2.1085519882785
-23.000000000000	0.12686678652802
-22.000000000000	2.0779557134060
-21.000000000000	3.7689993304943
-20.000000000000	5.2409989539691
-19.000000000000	6.5299766469698
-18.000000000000	7.6641392106769
-17.000000000000	8.6649948129460
-16.000000000000	9.5487829326059
-15.000000000000	10.328320857124
-14.000000000000	11.013182433211
-13.000000000000	11.610927651294
-12.000000000000	12.127463173040
-11.000000000000	12.567401878935
-10.000000000000	12.934322137169
-9.0000000000000	13.230955240226
-8.0000000000000	13.459302434884
-7.0000000000000	13.620800490723
-6.0000000000000	13.716279788957
-5.0000000000000	13.746079117533
-4.0000000000000	13.710043395011
-3.0000000000000	13.607521877784
-2.0000000000000	13.437345871003
-1.0000000000000	13.197783889189
0.0000000000000	12.886470062578
1.0000000000000	12.500409978271
2.0000000000000	12.035436007705
3.0000000000000	11.486556322112
4.0000000000000	10.847295464783
5.0000000000000	10.109358824533
6.0000000000000	9.2620076762340
7.0000000000000	8.2911204040671
8.0000000000000	7.1777368015827
9.0000000000000	5.8960000282608
10.000000000000	4.4082113772037
11.000000000000	2.6592823054024
12.000000000000	0.56275906776201
13.000000000000	-2.0242251778935
14.000000000000	-5.3447002297294
15.000000000000	-9.6960237472530
16.000000000000	-13.502044502332
17.000000000000	-11.263214140521
18.000000000000	-7.7318221821710
19.000000000000	-5.2409407817974
20.000000000000	-3.5376203314623
21.000000000000	-2.3649716319830
22.000000000000	-1.5729557005444
23.000000000000	-1.0734981352091
24.000000000000	-0.81288027304617
25.000000000000	-0.75704011706977
26.000000000000	-0.88619208216449
27.000000000000	-1.1871950040365
28.000000000000	-1.6532871556246
29.000000000000	-2.2810700251386
30.000000000000	-3.0674414350491
31.000000000000	-4.0038861682377
32.000000000000	-5.0645499575315
33.000000000000	-6.1824676030295
34.000000000000	-7.2125735127342
35.000000000000	-7.9136125663199
36.000000000000	-8.0451029067963
37.000000000000	-7.5690320108753
38.000000000000	-6.6895265382329
39.000000000000	-5.6578509084868
40.000000000000	-4.6380241192964
41.000000000000	-3.7064452710722
42.000000000000	-2.8893189221008
43.000000000000	-2.1898259170992
44.000000000000	-1.6019928889705
45.000000000000	-1.1175214951538
46.000000000000	-0.72579974013901
47.000000000000	-0.41903896196577
48.000000000000	-0.18956731705265
49.000000000000	-0.030694308535839
50.000000000000	0.063374285128937
51.000000000000	0.097651759281737
52.000000000000	0.076485728281810
53.000000000000	0.0036621629372538
54.000000000000	-0.11750459667236
55.000000000000	-0.28409526128238
56.000000000000	-0.49352059525729
57.000000000000	-0.74346581290206
58.000000000000	-1.0320129035660
59.000000000000	-1.3568746450721
60.000000000000	-1.7165074931185
61.000000000000	-2.1092507269986
62.000000000000	-2.5335099992955
63.000000000000	-2.9877161986884
64.000000000000	-3.4702801881242
65.000000000000	-3.9795412816908
66.000000000000	-4.5137071875653
67.000000000000	-5.0707831001952
68.000000000000	-5.6484878168523
69.000000000000	-6.2441554171978
70.000000000000	-6.8546225388745
71.000000000000	-7.4761041101337
72.000000000000	-8.1040651748387
73.000000000000	-8.7331037278617
74.000000000000	-9.3568693815010
75.000000000000	-9.9680541237287
76.000000000000	-10.558501095466
77.000000000000	-11.119478844393
78.000000000000	-11.642153137621
79.000000000000	-12.118248795471
80.000000000000	-12.540681406539
81.000000000000	-12.904950719865
82.000000000000	-13.208732659380
83.000000000000	-13.452793440128
84.000000000000	-13.640633110264
85.000000000000	-13.777949895215
86.000000000000	-13.871892271218
87.000000000000	-13.930274489873
88.000000000000	-13.960899115456
89.000000000000	-13.971064834537
90.000000000000	-13.967272652828
91.000000000000	-13.955107127142
92.000000000000	-13.939234474844
93.000000000000	-13.923483941792
94.000000000000	-13.910966633095
95.000000000000	-13.904208267413
96.000000000000	-13.905279540759
97.000000000000	-13.915915743150
98.000000000000	-13.937622343809
99.000000000000	-13.971766320131
100.00000000000	-14.019654674755
101.00000000000	-14.082465989908
102.00000000000	-14.161846439159
103.00000000000	-14.259173614080
104.00000000000	-14.376127257639
105.00000000000	-14.514613824137
106.00000000000	-14.676821918499
107.00000000000	-14.865284534218
108.00000000000	-15.082952462590
109.00000000000	-15.333284577897
110.00000000000	-15.620362802599
111.00000000000	-15.949042861844
112.00000000000	-16.325157202533
113.00000000000	-16.755795020074
114.00000000000	-17.249698670143
115.00000000000	-17.817840556148
116.00000000000	-18.474289313952
117.00000000000	-19.237558717911
118.00000000000	-20.132802181740
119.00000000000	-21.195579504422
120.00000000000	-22.478773506743
121.00000000000	-24.066455221198
122.00000000000	-26.105199379479
123.00000000000	-28.888543903471
124.00000000000	-33.154237373169
125.00000000000	-41.920404076378
126.00000000000	-42.162545317381
127.00000000000	-33.106655599193
128.00000000000	-28.694130089314
129.00000000000	-25.797464642982
130.00000000000	-23.664971664262
131.00000000000	-22.002155400244
132.00000000000	-20.664044780665
133.00000000000	-19.569243240420
134.00000000000	-18.668078037254
135.00000000000	-17.928558306162
136.00000000000	-17.328843131550
137.00000000000	-16.855755586321
138.00000000000	-16.499086368118
139.00000000000	-16.252794973237
140.00000000000	-16.113541083202
141.00000000000	-16.080209323954
142.00000000000	-16.153638743338
143.00000000000	-16.336495562355
144.00000000000	-16.633249169375
145.00000000000	-17.050215500409
146.00000000000	-17.594730624960
147.00000000000	-18.278522502786
148.00000000000	-19.112088582491
149.00000000000	-20.106749125658
150.00000000000	-21.269420306584
151.00000000000	-22.591567947964
152.00000000000	-24.023164154789
153.00000000000	-25.422396432231
154.00000000000	-26.507238070353
155.00000000000	-26.948393374773
156.00000000000	-26.672761470785
157.00000000000	-25.946252798108
158.00000000000	-25.082467698449
159.00000000000	-24.251636107090
160.00000000000	-23.495157014613
161.00000000000	-22.778948659332
162.00000000000	-22.030453430285
163.00000000000	-21.169672138413
164.00000000000	-20.143250663571
165.00000000000	-18.947193940877
166.00000000000	-17.626041660777
167.00000000000	-16.245293755306
168.00000000000	-14.866227933718
169.00000000000	-13.533802192034
170.00000000000	-12.276012664282
171.00000000000	-11.107962073793
172.00000000000	-10.036665961015
173.00000000000	-9.0631445394732
174.00000000000	-8.1868012216370
175.00000000000	-7.4052472219458
176.00000000000	-6.7155593868261
177.00000000000	-6.1147339537618
178.00000000000	-5.5999352581186
179.00000000000	-5.1686265274225
180.00000000000	-4.8187517907323
