#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
3.6500000953674	-6.1528416447028
3.6530001163483	-6.3987024060738
3.6559998989105	-6.6578803617077
3.6589999198914	-6.9306245282684
3.6619999408722	-7.2171424213252
3.6649999618530	-7.5175923224520
3.6679999828339	-7.8320595601841
3.6710000038147	-8.1605412099282
3.6740000247955	-8.5029126899602
3.6770000457764	-8.8588941476909
3.6800000667572	-9.2280029263986
3.6830000877380	-9.6094963993801
3.6860001087189	-10.002299797030
3.6889998912811	-10.404920646747
3.6919999122620	-10.815350311953
3.6949999332428	-11.230939526722
3.6979999542236	-11.648288399780
3.7009999752045	-12.063124313671
3.7039999961853	-12.470218393259
3.7070000171661	-12.863349928544
3.7100000381470	-13.235385356502
3.7130000591278	-13.578500695096
3.7160000801086	-13.884586166644
3.7190001010895	-14.145845669289
3.7219998836517	-14.355541362117
3.7249999046326	-14.508753955985
3.7279999256134	-14.603016733422
3.7309999465942	-14.638645365888
3.7339999675751	-14.618678136914
3.7369999885559	-14.548449776426
3.7400000095367	-14.434896596377
3.7430000305176	-14.285788396091
3.7460000514984	-14.109014636947
3.7490000724792	-13.912044829353
3.7520000934601	-13.701570234181
3.7550001144409	-13.483332711473
3.7579998970032	-13.262082399706
3.7609999179840	-13.041635067775
3.7639999389648	-12.824963455990
3.7669999599457	-12.614318866751
3.7699999809265	-12.411354082504
3.7730000019073	-12.217234160552
3.7760000228882	-12.032731818397
3.7790000438690	-11.858314071337
3.7820000648499	-11.694208142525
3.7850000858307	-11.540453753306
3.7880001068115	-11.396957115085
3.7909998893738	-11.263512893336
3.7939999103546	-11.139846934942
3.7969999313354	-11.025624812927
3.7999999523163	-10.920475720403
3.8029999732971	-10.824006270535
3.8059999942780	-10.735809703901
3.8090000152588	-10.655478154400
3.8120000362396	-10.582600543491
3.8150000572205	-10.516777219902
3.8180000782013	-10.457623714126
3.8210000991821	-10.404764589011
3.8239998817444	-10.357847669107
3.8269999027252	-10.316539034847
3.8299999237061	-10.280525181036
3.8329999446869	-10.249520429372
3.8359999656677	-10.223255436494
3.8389999866486	-10.201487827434
3.8420000076294	-10.184001069160
3.8450000286102	-10.170595587947
3.8480000495911	-10.161099160613
3.8510000705719	-10.155357648400
3.8540000915527	-10.153239097939
3.8570001125336	-10.154626635733
3.8599998950958	-10.159425121967
3.8629999160767	-10.167551873367
3.8659999370575	-10.178934949878
3.8689999580383	-10.193519752037
3.8719999790192	-10.211256014974
3.8750000000000	-10.232104430031
3.8780000209808	-10.256029719718
3.8810000419617	-10.282998668715
3.8840000629425	-10.312982046387
3.8870000839233	-10.345949733779
3.8900001049042	-10.381869059272
3.8929998874664	-10.420707870654
3.8959999084473	-10.462422844023
3.8989999294281	-10.506969625941
3.9019999504089	-10.554295598491
3.9049999713898	-10.604337176015
3.9079999923706	-10.657024606287
3.9110000133514	-10.712275280725
3.9140000343323	-10.769998616142
3.9170000553131	-10.830096609772
3.9200000762939	-10.892448982642
3.9230000972748	-10.956938499691
3.9260001182556	-11.023423933230
3.9289999008179	-11.091760415571
3.9319999217987	-11.161791654309
3.9349999427795	-11.233348309696
3.9379999637604	-11.306255022193
3.9409999847412	-11.380324490953
3.9440000057220	-11.455361483584
3.9470000267029	-11.531168556268
3.9500000476837	-11.607534613585
3.9530000686646	-11.684249089381
3.9560000896454	-11.761094481497
3.9590001106262	-11.837854526879
3.9619998931885	-11.914308883996
3.9649999141693	-11.990238968057
3.9679999351501	-12.065428548644
3.9709999561310	-12.139662017442
3.9739999771118	-12.212732623040
3.9769999980927	-12.284437465721
3.9800000190735	-12.354581195911
3.9830000400543	-12.422979722798
3.9860000610352	-12.489458865630
3.9890000820160	-12.553853120311
3.9920001029968	-12.616015975756
3.9949998855591	-12.675811764918
3.9979999065399	-12.733122222111
4.0009999275208	-12.787842507560
4.0040001869202	-12.839890246118
4.0069999694824	-12.889193555963
4.0100002288818	-12.935707774049
4.0130000114441	-12.979401783433
4.0159997940063	-13.020266849649
4.0190000534058	-13.058311769674
4.0219998359680	-13.093566841712
4.0250000953674	-13.126078945077
4.0279998779297	-13.155919475529
4.0310001373291	-13.183171312351
4.0339999198914	-13.207941891207
4.0370001792908	-13.230351141223
4.0399999618530	-13.250538571867
4.0430002212524	-13.268656363050
4.0460000038147	-13.284871348555
4.0489997863770	-13.299362078407
4.0520000457764	-13.312319673485
4.0549998283386	-13.323942843342
4.0580000877380	-13.334438871843
4.0609998703003	-13.344021655046
4.0640001296997	-13.352909476906
4.0669999122620	-13.361321427390
4.0700001716614	-13.369478907734
4.0729999542236	-13.377603947513
4.0760002136230	-13.385914893800
4.0789999961853	-13.394627335655
4.0819997787476	-13.403949570795
4.0850000381470	-13.414086674059
4.0879998207092	-13.425232832449
4.0910000801086	-13.437575611758
4.0939998626709	-13.451289817827
4.0970001220703	-13.466543393961
4.0999999046326	-13.483489399394
4.1030001640320	-13.502268620733
4.1059999465942	-13.523010084345
4.1090002059937	-13.545828407878
4.1119999885559	-13.570824607675
4.1149997711182	-13.598084664044
4.1180000305176	-13.627681306316
4.1209998130798	-13.659673664975
4.1240000724792	-13.694104684892
4.1269998550415	-13.731004310201
4.1300001144409	-13.770389038707
4.1329998970032	-13.812260172174
4.1360001564026	-13.856607652685
4.1389999389648	-13.903409194149
4.1420001983643	-13.952628277641
4.1449999809265	-14.004221168187
4.1479997634888	-14.058128788066
4.1510000228882	-14.114289027398
4.1539998054504	-14.172624912271
4.1570000648499	-14.233056957739
4.1599998474121	-14.295497231503
4.1630001068115	-14.359851933798
4.1659998893738	-14.426026327143
4.1690001487732	-14.493921545919
4.1719999313354	-14.563435100335
4.1750001907349	-14.634467737744
4.1779999732971	-14.706919849452
4.1810002326965	-14.780692310657
4.1840000152588	-14.855693051796
4.1869997978210	-14.931829811925
4.1900000572205	-15.009019260782
4.1929998397827	-15.087181390119
4.1960000991821	-15.166243226492
4.1989998817444	-15.246138691969
4.2020001411438	-15.326809631169
4.2049999237061	-15.408205615318
4.2080001831055	-15.490281626940
4.2109999656677	-15.573000986973
4.2140002250671	-15.656332340222
4.2170000076294	-15.740252349498
4.2199997901917	-15.824740435292
4.2230000495911	-15.909781804089
4.2259998321533	-15.995363807265
4.2290000915527	-16.081477129218
4.2319998741150	-16.168111382587
4.2350001335144	-16.255258473706
4.2379999160767	-16.342905515270
4.2410001754761	-16.431040653670
4.2439999580383	-16.519644284720
4.2470002174377	-16.608691920920
4.2500000000000	-16.698156308749
4.2529997825623	-16.788000584444
4.2560000419617	-16.878178742408
4.2589998245239	-16.968640928514
4.2620000839233	-17.059325786274
4.2649998664856	-17.150162551569
