#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Theta / deg"	"farfield (f=4.7) [1]_1 [Magnitude / dBi]"
#--------------------------------------------------------
77.000000000000	-12.684446675504
78.000000000000	-12.969534199727
79.000000000000	-13.263603474272
80.000000000000	-13.566004865519
81.000000000000	-13.876563607741
82.000000000000	-14.194596842831
83.000000000000	-14.519560626845
84.000000000000	-14.850859727206
85.000000000000	-15.187821595697
86.000000000000	-15.529663757920
87.000000000000	-15.875453737265
88.000000000000	-16.224060827742
89.000000000000	-16.574099495269
90.000000000000	-16.923866707656
91.000000000000	-17.271265104989
92.000000000000	-17.613743267445
93.000000000000	-17.948223426683
94.000000000000	-18.271058048756
95.000000000000	-18.578019723871
96.000000000000	-18.864347480575
97.000000000000	-19.124872007935
98.000000000000	-19.354238251517
99.000000000000	-19.547231397661
100.00000000000	-19.699190302321
101.00000000000	-19.806543670673
102.00000000000	-19.866902442307
103.00000000000	-19.879906049562
104.00000000000	-19.847001980674
105.00000000000	-19.771467085435
106.00000000000	-19.658141597548
107.00000000000	-19.513027889921
108.00000000000	-19.342835033680
109.00000000000	-19.154545894398
110.00000000000	-18.955060807672
111.00000000000	-18.750943053611
112.00000000000	-18.548266646676
113.00000000000	-18.352551303158
114.00000000000	-18.168762916706
115.00000000000	-18.001357933684
116.00000000000	-17.854353646978
117.00000000000	-17.731411249932
118.00000000000	-17.635923098358
119.00000000000	-17.571099399757
120.00000000000	-17.540052370588
121.00000000000	-17.545877913970
122.00000000000	-17.591736305201
123.00000000000	-17.680914942954
124.00000000000	-17.816995410023
125.00000000000	-18.003826082455
126.00000000000	-18.245723233796
127.00000000000	-18.547585816810
128.00000000000	-18.915070025632
129.00000000000	-19.354817734153
130.00000000000	-19.874764984960
131.00000000000	-20.484571446170
132.00000000000	-21.196237199955
133.00000000000	-22.025018891471
134.00000000000	-22.990843069086
135.00000000000	-24.120584771170
136.00000000000	-25.452744240253
137.00000000000	-27.041910848344
138.00000000000	-28.975911322067
139.00000000000	-31.404149820376
140.00000000000	-34.612986521935
141.00000000000	-39.232948345295
142.00000000000	-46.131518043726
143.00000000000	-44.634166257408
144.00000000000	-39.252744174479
145.00000000000	-36.106263966970
146.00000000000	-34.175662120150
147.00000000000	-32.991707057702
148.00000000000	-32.342994260717
149.00000000000	-32.137381594581
150.00000000000	-32.346940567505
151.00000000000	-32.993919497092
152.00000000000	-34.159055877982
153.00000000000	-36.017654407755
154.00000000000	-38.921002353380
155.00000000000	-43.255904731283
156.00000000000	-44.510946393512
157.00000000000	-39.360152638168
158.00000000000	-35.168438418772
159.00000000000	-32.179772968146
160.00000000000	-29.945947637692
161.00000000000	-28.219941862694
162.00000000000	-26.866472151946
163.00000000000	-25.806317073246
164.00000000000	-24.991193961853
165.00000000000	-24.388977925581
166.00000000000	-23.981663146811
167.00000000000	-23.758683883900
168.00000000000	-23.716358393104
169.00000000000	-23.857401503932
170.00000000000	-24.191427880261
171.00000000000	-24.736637903202
172.00000000000	-25.523120464881
173.00000000000	-26.600042802147
174.00000000000	-28.050548718837
175.00000000000	-30.024508655921
176.00000000000	-32.831144260883
177.00000000000	-37.282977730748
178.00000000000	-47.230485031620
179.00000000000	-45.535875244793
180.00000000000	-36.818132059322
